"city","city_ascii","state_id","state_name","lat","lng","population","density"
"Westchester","Westchester","FL","Florida","25.7474","-80.3358","29778","2901"
"Maryville","Maryville","TN","Tennessee","35.7468","-83.9789","29742","665"
"Walnut","Walnut","CA","California","34.0334","-117.8593","29685","1274"
"Suisun City","Suisun City","CA","California","38.2473","-122.0090","29663","2820"
"Garden City","Garden City","KS","Kansas","37.9754","-100.8529","29659","945"
"Texarkana","Texarkana","AR","Arkansas","33.4361","-93.9960","29657","273"
"Kent","Kent","OH","Ohio","41.1490","-81.3610","29646","1247"
"West Falls Church","West Falls Church","VA","Virginia","38.8648","-77.1878","29623","2291"
"North Chicago","North Chicago","IL","Illinois","42.3172","-87.8596","29615","1430"
"Greenville","Greenville","MS","Mississippi","33.3850","-91.0514","29613","417"
"Duluth","Duluth","GA","Georgia","34.0053","-84.1492","29609","1118"
"Aberdeen","Aberdeen","WA","Washington","46.9757","-123.8094","29609","595"
"Winona","Winona","MN","Minnesota","44.0505","-91.6684","29601","539"
"O'Fallon","O'Fallon","IL","Illinois","38.5976","-89.9155","29583","743"
"Drexel Heights","Drexel Heights","AZ","Arizona","32.1457","-111.0478","29568","586"
"Ukiah","Ukiah","CA","California","39.1463","-123.2105","29561","1290"
"Atwater","Atwater","CA","California","37.3543","-120.5981","29559","1873"
"Golden Gate","Golden Gate","FL","Florida","26.1844","-81.7031","29552","2922"
"Sanford","Sanford","ME","Maine","43.4244","-70.7573","29535","171"
"Highland Park","Highland Park","IL","Illinois","42.1823","-87.8105","29515","930"
"Westfield","Westfield","NJ","New Jersey","40.6515","-74.3433","29512","1694"
"Hermiston","Hermiston","OR","Oregon","45.8323","-119.2858","29512","838"
"Oak Park","Oak Park","MI","Michigan","42.4649","-83.1824","29431","2204"
"Central","Central","LA","Louisiana","30.5593","-91.0369","29357","182"
"East Lake-Orient Park","East Lake-Orient Park","FL","Florida","27.9971","-82.3653","29346","709"
"Chicago Heights","Chicago Heights","IL","Illinois","41.5101","-87.6345","29322","1101"
"East Palo Alto","East Palo Alto","CA","California","37.4671","-122.1352","29314","4489"
"Newberg","Newberg","OR","Oregon","45.3075","-122.9601","29225","1560"
"Lewes","Lewes","DE","Delaware","38.7777","-75.1448","29187","308"
"North Attleborough","North Attleborough","MA","Massachusetts","41.9699","-71.3345","29180","597"
"Washington","Washington","UT","Utah","37.1304","-113.4877","29174","324"
"Port Chester","Port Chester","NY","New York","41.0052","-73.6680","29163","4831"
"Oak Ridge","Oak Ridge","TN","Tennessee","35.9639","-84.2938","29156","132"
"Crofton","Crofton","MD","Maryland","39.0144","-76.6800","29136","1701"
"Athens","Athens","OH","Ohio","39.3269","-82.0988","29122","964"
"Laplace","Laplace","LA","Louisiana","30.0731","-90.4758","29108","537"
"SeaTac","SeaTac","WA","Washington","47.4444","-122.2986","29044","1114"
"Raytown","Raytown","MO","Missouri","38.9944","-94.4641","28991","1127"
"Paragould","Paragould","AR","Arkansas","36.0555","-90.5149","28986","351"
"Graham","Graham","WA","Washington","47.0407","-122.2756","28976","319"
"Southgate","Southgate","MI","Michigan","42.2047","-83.2057","28959","1626"
"Harrison","Harrison","NY","New York","41.0233","-73.7192","28943","666"
"Niles","Niles","IL","Illinois","42.0278","-87.8099","28938","1911"
"Fernandina Beach","Fernandina Beach","FL","Florida","30.6579","-81.4504","28931","444"
"Big Spring","Big Spring","TX","Texas","32.2387","-101.4802","28913","569"
"Bella Vista","Bella Vista","AR","Arkansas","36.4667","-94.2707","28872","246"
"Milton","Milton","PA","Pennsylvania","41.0090","-76.8507","28851","749"
"Morrisville","Morrisville","NC","North Carolina","35.8367","-78.8348","28846","1277"
"Greenville","Greenville","TX","Texas","33.1116","-96.1098","28827","344"
"Casselberry","Casselberry","FL","Florida","28.6625","-81.3218","28757","1601"
"Plattsburgh","Plattsburgh","NY","New York","44.6951","-73.4563","28740","1495"
"Wasco","Wasco","CA","California","35.5938","-119.3671","28710","1180"
"South Laurel","South Laurel","MD","Maryland","39.0603","-76.8456","28683","1372"
